an_base,total,frequencia,total_o_Female,total_o_Male,frequencia_o_Female,frequencia_o_Male,total_d_Female,total_d_Male,frequencia_d_Female,frequencia_d_Male,total_od_FF,total_od_FM,total_od_MF,total_od_MM,frequencia_od_FF,frequencia_od_FM,frequencia_od_MF,frequencia_od_MM
1991,68,0.57,8,60,11.76,88.24,25,43,36.76,63.24,5,3,20,40,7.35,4.41,29.41,58.82
1992,83,0.69,15,68,18.07,81.93,29,54,34.94,65.06,8,7,21,47,9.64,8.43,25.3,56.63
1993,95,0.8,12,83,12.63,87.37,33,62,34.74,65.26,5,7,28,55,5.26,7.37,29.47,57.89
1994,110,0.92,13,97,11.82,88.18,30,80,27.27,72.73,6,7,24,73,5.45,6.36,21.82,66.36
1995,104,0.87,15,89,14.42,85.58,41,63,39.42,60.58,7,8,34,55,6.73,7.69,32.69,52.88
1996,157,1.31,23,134,14.65,85.35,51,106,32.48,67.52,10,13,41,93,6.37,8.28,26.11,59.24
1997,165,1.38,29,136,17.58,82.42,50,115,30.3,69.7,12,17,38,98,7.27,10.3,23.03,59.39
1998,189,1.58,42,147,22.22,77.78,53,136,28.04,71.96,13,29,40,107,6.88,15.34,21.16,56.61
1999,197,1.65,45,152,22.84,77.16,61,136,30.96,69.04,13,32,48,104,6.6,16.24,24.37,52.79
2000,252,2.11,55,197,21.83,78.17,77,175,30.56,69.44,24,31,53,144,9.52,12.3,21.03,57.14
2001,227,1.9,47,180,20.7,79.3,72,155,31.72,68.28,12,35,60,120,5.29,15.42,26.43,52.86
2002,279,2.34,56,223,20.07,79.93,83,196,29.75,70.25,18,38,65,158,6.45,13.62,23.3,56.63
2003,316,2.65,75,241,23.73,76.27,95,221,30.06,69.94,26,49,69,172,8.23,15.51,21.84,54.43
2004,300,2.51,58,242,19.33,80.67,88,212,29.33,70.67,17,41,71,171,5.67,13.67,23.67,57
2005,342,2.86,66,276,19.3,80.7,98,244,28.65,71.35,19,47,79,197,5.56,13.74,23.1,57.6
2006,342,2.86,57,285,16.67,83.33,101,241,29.53,70.47,26,31,75,210,7.6,9.06,21.93,61.4
2007,380,3.18,69,311,18.16,81.84,115,265,30.26,69.74,28,41,87,224,7.37,10.79,22.89,58.95
2008,371,3.11,74,297,19.95,80.05,103,268,27.76,72.24,27,47,76,221,7.28,12.67,20.49,59.57
2009,389,3.26,91,298,23.39,76.61,109,280,28.02,71.98,33,58,76,222,8.48,14.91,19.54,57.07
2010,480,4.02,97,383,20.21,79.79,127,353,26.46,73.54,24,73,103,280,5,15.21,21.46,58.33
2011,513,4.29,88,425,17.15,82.85,158,355,30.8,69.2,38,50,120,305,7.41,9.75,23.39,59.45
2012,543,4.55,105,438,19.34,80.66,160,383,29.47,70.53,36,69,124,314,6.63,12.71,22.84,57.83
2013,583,4.88,111,472,19.04,80.96,162,421,27.79,72.21,27,84,135,337,4.63,14.41,23.16,57.8
2014,596,4.99,100,496,16.78,83.22,199,397,33.39,66.61,39,61,160,336,6.54,10.23,26.85,56.38
2015,648,5.42,126,522,19.44,80.56,171,477,26.39,73.61,34,92,137,385,5.25,14.2,21.14,59.41
2016,573,4.8,113,460,19.72,80.28,160,413,27.92,72.08,42,71,118,342,7.33,12.39,20.59,59.69
2017,742,6.21,168,574,22.64,77.36,194,548,26.15,73.85,49,119,145,429,6.6,16.04,19.54,57.82
2018,676,5.66,128,548,18.93,81.07,183,493,27.07,72.93,42,86,141,407,6.21,12.72,20.86,60.21
2019,866,7.25,170,696,19.63,80.37,245,621,28.29,71.71,61,109,184,512,7.04,12.59,21.25,59.12
2020,626,5.24,135,491,21.57,78.43,173,453,27.64,72.36,47,88,126,365,7.51,14.06,20.13,58.31
2021,733,6.14,162,571,22.1,77.9,202,531,27.56,72.44,55,107,147,424,7.5,14.6,20.05,57.84
