an_base,category,n
1991,Phenomenology and Hermeneutics,9
1991,Metaphysics,11
1991,Philosophy of Science,15
1991,Philosophy of Mind and Language,10
1991,Social and Political Philosophy,15
1991,Aesthetics,9
1991,Ethics,2
1992,Metaphysics,15
1992,Phenomenology and Hermeneutics,13
1992,Philosophy of Science,14
1992,Social and Political Philosophy,24
1992,Philosophy of Mind and Language,8
1992,Ethics,5
1992,Aesthetics,5
1993,Phenomenology and Hermeneutics,19
1993,Social and Political Philosophy,24
1993,Aesthetics,11
1993,Philosophy of Science,22
1993,Metaphysics,18
1993,Philosophy of Mind and Language,4
1993,Ethics,3
1994,Ethics,11
1994,Aesthetics,5
1994,Social and Political Philosophy,18
1994,Metaphysics,18
1994,Philosophy of Mind and Language,10
1994,Phenomenology and Hermeneutics,18
1994,Philosophy of Science,24
1995,Social and Political Philosophy,19
1995,Ethics,12
1995,Philosophy of Science,17
1995,Aesthetics,11
1995,Metaphysics,15
1995,Phenomenology and Hermeneutics,18
1995,Philosophy of Mind and Language,15
1996,Social and Political Philosophy,34
1996,Philosophy of Science,35
1996,Phenomenology and Hermeneutics,11
1996,Aesthetics,25
1996,Ethics,13
1996,Metaphysics,26
1996,Philosophy of Mind and Language,15
1997,Social and Political Philosophy,30
1997,Aesthetics,25
1997,Philosophy of Science,24
1997,Phenomenology and Hermeneutics,22
1997,Philosophy of Mind and Language,14
1997,Metaphysics,36
1997,Ethics,15
1998,Social and Political Philosophy,50
1998,Ethics,23
1998,Philosophy of Science,20
1998,Aesthetics,18
1998,Phenomenology and Hermeneutics,26
1998,Philosophy of Mind and Language,15
1998,Metaphysics,36
1999,Philosophy of Science,27
1999,Social and Political Philosophy,35
1999,Metaphysics,37
1999,Phenomenology and Hermeneutics,25
1999,Ethics,29
1999,Philosophy of Mind and Language,25
1999,Aesthetics,17
2000,Philosophy of Mind and Language,36
2000,Social and Political Philosophy,53
2000,Phenomenology and Hermeneutics,28
2000,Aesthetics,37
2000,Ethics,25
2000,Metaphysics,48
2000,Philosophy of Science,29
2001,Philosophy of Science,38
2001,Philosophy of Mind and Language,25
2001,Phenomenology and Hermeneutics,40
2001,Metaphysics,39
2001,Social and Political Philosophy,43
2001,Ethics,27
2001,Aesthetics,20
2002,Social and Political Philosophy,59
2002,Ethics,34
2002,Phenomenology and Hermeneutics,47
2002,Philosophy of Science,30
2002,Aesthetics,32
2002,Philosophy of Mind and Language,38
2002,Metaphysics,45
2003,Social and Political Philosophy,67
2003,Philosophy of Science,48
2003,Phenomenology and Hermeneutics,46
2003,Philosophy of Mind and Language,37
2003,Ethics,53
2003,Metaphysics,52
2003,Aesthetics,22
2004,Ethics,43
2004,Metaphysics,60
2004,Phenomenology and Hermeneutics,45
2004,Philosophy of Science,53
2004,Social and Political Philosophy,46
2004,Aesthetics,27
2004,Philosophy of Mind and Language,23
2005,Aesthetics,28
2005,Phenomenology and Hermeneutics,51
2005,Metaphysics,74
2005,Philosophy of Mind and Language,43
2005,Ethics,46
2005,Social and Political Philosophy,71
2005,Philosophy of Science,38
2006,Social and Political Philosophy,69
2006,Aesthetics,45
2006,Philosophy of Mind and Language,46
2006,Ethics,37
2006,Metaphysics,63
2006,Phenomenology and Hermeneutics,42
2006,Philosophy of Science,54
2007,Ethics,46
2007,Phenomenology and Hermeneutics,58
2007,Social and Political Philosophy,87
2007,Metaphysics,71
2007,Philosophy of Science,41
2007,Aesthetics,44
2007,Philosophy of Mind and Language,40
2008,Metaphysics,70
2008,Ethics,44
2008,Social and Political Philosophy,77
2008,Phenomenology and Hermeneutics,44
2008,Philosophy of Mind and Language,51
2008,Aesthetics,34
2008,Philosophy of Science,44
2009,Phenomenology and Hermeneutics,59
2009,Ethics,48
2009,Social and Political Philosophy,88
2009,Metaphysics,72
2009,Philosophy of Mind and Language,45
2009,Aesthetics,46
2009,Philosophy of Science,43
2010,Philosophy of Science,50
2010,Social and Political Philosophy,101
2010,Ethics,71
2010,Metaphysics,94
2010,Philosophy of Mind and Language,56
2010,Phenomenology and Hermeneutics,51
2010,Aesthetics,65
2011,Philosophy of Science,54
2011,Ethics,54
2011,Philosophy of Mind and Language,47
2011,Phenomenology and Hermeneutics,67
2011,Social and Political Philosophy,137
2011,Aesthetics,55
2011,Metaphysics,97
2012,Philosophy of Science,63
2012,Phenomenology and Hermeneutics,79
2012,Ethics,67
2012,Social and Political Philosophy,121
2012,Metaphysics,94
2012,Philosophy of Mind and Language,51
2012,Aesthetics,56
2013,Ethics,83
2013,Social and Political Philosophy,145
2013,Metaphysics,122
2013,Phenomenology and Hermeneutics,71
2013,Aesthetics,64
2013,Philosophy of Science,61
2013,Philosophy of Mind and Language,52
2014,Social and Political Philosophy,118
2014,Philosophy of Science,76
2014,Phenomenology and Hermeneutics,91
2014,Aesthetics,69
2014,Metaphysics,113
2014,Philosophy of Mind and Language,61
2014,Ethics,79
2015,Aesthetics,92
2015,Ethics,100
2015,Social and Political Philosophy,131
2015,Metaphysics,108
2015,Phenomenology and Hermeneutics,88
2015,Philosophy of Science,74
2015,Philosophy of Mind and Language,56
2016,Social and Political Philosophy,120
2016,Philosophy of Science,56
2016,Philosophy of Mind and Language,69
2016,Ethics,81
2016,Phenomenology and Hermeneutics,66
2016,Metaphysics,98
2016,Aesthetics,64
2017,Metaphysics,136
2017,Phenomenology and Hermeneutics,111
2017,Social and Political Philosophy,167
2017,Philosophy of Mind and Language,70
2017,Philosophy of Science,83
2017,Aesthetics,81
2017,Ethics,101
2018,Ethics,71
2018,Social and Political Philosophy,175
2018,Metaphysics,116
2018,Phenomenology and Hermeneutics,94
2018,Aesthetics,79
2018,Philosophy of Mind and Language,69
2018,Philosophy of Science,67
2019,Social and Political Philosophy,188
2019,Philosophy of Science,73
2019,Aesthetics,85
2019,Philosophy of Mind and Language,72
2019,Metaphysics,130
2019,Ethics,87
2019,Phenomenology and Hermeneutics,101
2020,Social and Political Philosophy,128
2020,Aesthetics,85
2020,Philosophy of Mind and Language,42
2020,Metaphysics,94
2020,Philosophy of Science,74
2020,Phenomenology and Hermeneutics,78
2020,Ethics,60
2021,Philosophy of Mind and Language,62
2021,Social and Political Philosophy,161
2021,Aesthetics,95
2021,Phenomenology and Hermeneutics,83
2021,Ethics,61
2021,Philosophy of Science,73
2021,Metaphysics,107
